user,created_at,location,coordinates,tweet_text
_1958MJ,2016-06-02 0:33,"Bogot\xc3\xa1, Colombia",,"RT @ElMakiaDice: PRIMER PERIODO:\n\xe2\x80\x94Resu\xc3\xa9lvanme esta sopita de letras.\n\xe2\x80\x94Bueno profe.\n\nRESTO DEL A\xc3\x91O:\n\xe2\x80\x94Me encuentran la cura del Zika, y busqu\xe2\x80\xa6"
,,,,
NewYork_AU,2016-06-02 0:33,New York City,,The latest New York Digital Guide! https://t.co/hSfAYLl6uM #zika
,,,,
mo0ns99,2016-06-02 0:32,,,RT @ajplus: First case of a baby born with microcephaly from Zika in continental U.S.\n\nA look at the virus: https://t.co/8Cez0ELtD3
,,,,
PresidentReag,2016-06-02 0:32,State College/University Park,,RT @michaeleaves: Rory McIlroy ready to play in Rio Games after studying up on Zika \n#golf #olympics  https://t.co/aWBdZTJckG
,,,,
AldethLewin,2016-06-02 0:32,"Virgin Islands, U.S.",,First baby born with Zika-linked microcephaly in New York tri-state area | Fox News |  https://t.co/LCriK2SUog
,,,,
Angelwings55sc,2016-06-02 0:32,York South Carolina,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
vc_democrats,2016-06-02 0:32,"Valencia County, New Mexico",,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
tefy_maximo,2016-06-02 0:32,17- Leonina- SP,,"Que zika do caralho mano, vsf"
,,,,
WAwizardsfan,2016-06-02 0:32,,,Zika virus may Chicago Bulls player keep away from Rio Olympics... https://t.co/MPw6XmmJOP https://t.co/i3nJbiSZg9
,,,,
lsimuta,2016-06-02 0:32,,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
kenia_gali,2016-06-02 0:32,"San Crist\xc3\xb3bal de las Casas, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
AmbarCamil,2016-06-02 0:32,Tuxtla Gutierrez,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
villegasjrr,2016-06-02 0:32,,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
giovananataren,2016-06-02 0:32,,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
mario_rotter,2016-06-02 0:32,"Tuxtla Guti\xc3\xa9rrez, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
jjuliosalinass,2016-06-02 0:32,Tapachula,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
Norma379S,2016-06-02 0:32,Tuxtla enaMORADA,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
jsancheztoala,2016-06-02 0:32,,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
karlosantan,2016-06-02 0:32,,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
ClippoCruz,2016-06-02 0:32,Arriaga,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
tjimenezf,2016-06-02 0:32,"Tuxtla Guti\xc3\xa9rrez, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
ErnestoNetohdz,2016-06-02 0:32,Berriozabal,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
maritzacalvita,2016-06-02 0:32,"Pichucalco, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
UrielPerezito,2016-06-02 0:32,"Tapachula, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
noemoralesperez,2016-06-02 0:32,"Ciudad Hidalgo, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
naching257,2016-06-02 0:32,Tuxtla Gutierrez,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
georpaniagua,2016-06-02 0:32,"Mapastepec, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
mariola_alfonso,2016-06-02 0:32,Chiapas,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
ElideCueto,2016-06-02 0:32,,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
PozoShapiro,2016-06-02 0:32,Tuxtla es mover a chiapas,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
emesantiz,2016-06-02 0:32,"Oxchuc, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
rrorrocabrera,2016-06-02 0:32,,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
AnaAnitav,2016-06-02 0:32,"Tuxtla Guti\xc3\xa9rrez, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
Ismemartin,2016-06-02 0:32,"Tonal\xc3\xa1, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
VelascoRgez,2016-06-02 0:32,"Cintalapa, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
anakarencru,2016-06-02 0:32,"Arriaga, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
gilbertovillan8,2016-06-02 0:32,,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
najeratoala,2016-06-02 0:32,,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
PerosoMiguel,2016-06-02 0:32,"Naucalpan de Ju\xc3\xa1rez, M\xc3\xa9xico",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
BenitojzJuarez,2016-06-02 0:32,,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
JIQUIPILAS07,2016-06-02 0:32,Jiquipilas,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
DavidLoarca,2016-06-02 0:32,Comitan de dominguez,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
PerrezSimon,2016-06-02 0:32,"Tuxtla Guti\xc3\xa9rrez, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
ivonnemoraluna,2016-06-02 0:32,"Tuxtla Guti\xc3\xa9rrez, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
rrorocabrera,2016-06-02 0:32,"Tuxtla Chico, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
luisrmramirez,2016-06-02 0:32,Tuxtla Gutierrez,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
LombanaPako,2016-06-02 0:32,Tuxtla,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
JacomeJacome1,2016-06-02 0:32,"Venustiano Carranza, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
roscousi,2016-06-02 0:32,Tuxtla Gutierrez,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
berenice206,2016-06-02 0:32,Tuxtla Gutierrez,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
corporativoju13,2016-06-02 0:32,"Tuxtla Guti\xc3\xa9rrez, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
kenigaliano,2016-06-02 0:32,"Tapachula, Chiapas",,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
mijasivi,2016-06-02 0:32,Tuxtla Gutierrez,,RT @Oye_Chiapas: EU registra nacimiento de beb\xc3\xa9 con microcefalia por zika\nhttps://t.co/g403k2FHq7 https://t.co/4le9ESreA2
,,,,
acg747,2016-06-02 0:32,Salvador/Bahia/Brasil,,RT @Estadao: Nasce nos EUA 1\xc2\xba beb\xc3\xaa com microcefalia associada ao zika https://t.co/KuL5oJ6czb
,,,,
Babilonia14_,2016-06-02 0:32,"Bogot\xc3\xa1, Colombia",,"RT @ElMakiaDice: PRIMER PERIODO:\n\xe2\x80\x94Resu\xc3\xa9lvanme esta sopita de letras.\n\xe2\x80\x94Bueno profe.\n\nRESTO DEL A\xc3\x91O:\n\xe2\x80\x94Me encuentran la cura del Zika, y busqu\xe2\x80\xa6"
,,,,
